OPEID;INSTNM;CITY;STABBR;ZIP;INSTURL;REGION;LOCALE;ADM_RATE;COSTT4_A
227700;Lake Michigan College;Benton Harbor;MI;49022-1899;https://www.lakemichigancollege.edu;3;41.0;;12922.0
229300;Lake Superior State University;Sault Ste Marie;MI;49783;www.lssu.edu;3;33.0;0.5816;21898.0
227800;Lansing Community College;Lansing;MI;48901-7210;www.lcc.edu;3;12.0;;9283.0
227900;Lawrence Technological University;Southfield;MI;48075-1058;www.ltu.edu;3;13.0;0.5964;44311.0
1321800;M J Murphy Beauty College of Mount Pleasant;Mount Pleasant;MI;48858;mjmbc.net/;3;32.0;;
890600;Macomb Community College;Warren;MI;48088-3896;www.macomb.edu;3;12.0;;12212.0
228200;Madonna University;Livonia;MI;48150-1176;https://www.madonna.edu;3;13.0;0.7433;29820.0
228400;Marygrove College;Detroit;MI;48221-2599;https://www.marygrove.edu;3;11.0;0.4098;27517.0
228800;Rochester College;Rochester Hills;MI;48307;www.rc.edu;3;21.0;1.0;29581.0
232500;University of Michigan-Ann Arbor;Ann Arbor;MI;48109;www.umich.edu;3;12.0;0.265;28652.0
2361500;Michigan Barber School Inc;Detroit;MI;48204-2244;michiganbarberschool.org;3;11.0;;
229000;Michigan State University;East Lansing;MI;48824-1046;https://www.msu.edu;3;13.0;0.7155;27006.0
229200;Michigan Technological University;Houghton;MI;49931-1295;www.mtu.edu;3;33.0;0.7449;27537.0
232600;University of Michigan-Dearborn;Dearborn;MI;48128-1491;https://umdearborn.edu/;3;13.0;0.6428;19323.0
232700;University of Michigan-Flint;Flint;MI;48502-1950;www.umflint.edu;3;13.0;0.6512;19013.0
676800;Mid Michigan College;Harrison;MI;48625-9447;www.midmich.edu;3;41.0;;12118.0
229400;Monroe County Community College;Monroe;MI;48161-9746;www.monroeccc.edu;3;41.0;;9366.0
229500;Montcalm Community College;Sidney;MI;48885-9723;www.montcalm.edu;3;42.0;;12661.0
2158600;Mr Bela's School of Cosmetology Inc;Warren;MI;48091;www.mrbelas.com;3;12.0;;
229700;Muskegon Community College;Muskegon;MI;49442-1432;www.muskegoncc.edu;3;13.0;;9085.0
982800;Altierus Career Education-Southfield;Southfield;MI;48033-4400;https://www.altierus.edu;3;13.0;;
